@relation WA_Fn-UseC_-Telco-Customer-Churn-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Randomize-S42_clustered

@attribute Instance_number numeric
@attribute gender {Female,Male}
@attribute SeniorCitizen numeric
@attribute Partner {Yes,No}
@attribute Dependents {No,Yes}
@attribute tenure numeric
@attribute PhoneService {No,Yes}
@attribute MultipleLines {'No phone service',No,Yes}
@attribute InternetService {DSL,'Fiber optic',No}
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute OnlineBackup {Yes,No,'No internet service'}
@attribute DeviceProtection {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute StreamingTV {No,Yes,'No internet service'}
@attribute StreamingMovies {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaperlessBilling {Yes,No}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute MonthlyCharges numeric
@attribute TotalCharges numeric
@attribute Churn {No,Yes}
@attribute Cluster {cluster0,cluster1}

@data
6030,Male,1,Yes,No,27,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',70.55,1943.9,No,cluster1
6031,Male,0,Yes,Yes,34,Yes,No,'Fiber optic',No,No,No,No,No,Yes,'One year',Yes,'Bank transfer (automatic)',78.95,2647.2,No,cluster1
6032,Female,0,Yes,Yes,11,No,'No phone service',DSL,Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',29.6,346.45,No,cluster1
6033,Female,1,No,No,43,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Electronic check',90.25,3838.75,No,cluster1
6034,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',55.45,55.45,No,cluster1
6035,Male,0,Yes,Yes,38,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,'One year',No,'Electronic check',74.05,2802.3,No,cluster0
6036,Male,1,No,No,33,No,'No phone service',DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',54.6,1803.7,No,cluster1
6037,Female,0,No,No,4,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',70.9,273,Yes,cluster1
6038,Male,0,No,No,1,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',25.15,25.15,Yes,cluster1
6039,Female,0,No,No,8,Yes,Yes,'Fiber optic',Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',103.35,847.3,Yes,cluster1
6040,Female,0,No,No,66,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,No,'One year',Yes,'Bank transfer (automatic)',104.55,6779.05,No,cluster1
6041,Male,0,No,No,3,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.3,264.8,Yes,cluster1
6042,Female,1,Yes,Yes,14,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',95.8,1346.3,No,cluster1
6043,Male,0,Yes,No,34,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',100.05,3480,Yes,cluster1
6044,Female,0,No,No,30,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.4,578.5,No,cluster0
6045,Male,1,Yes,No,33,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',94.5,3105.55,Yes,cluster1
6046,Male,0,Yes,Yes,2,Yes,No,'Fiber optic',No,No,Yes,Yes,No,Yes,Month-to-month,No,'Credit card (automatic)',90,190.05,Yes,cluster1
6047,Female,1,Yes,Yes,40,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',94.55,3640.45,Yes,cluster1
6048,Female,0,Yes,Yes,28,Yes,No,'Fiber optic',Yes,No,No,No,No,Yes,'One year',Yes,'Bank transfer (automatic)',82.85,2320.8,No,cluster1
6049,Male,0,Yes,Yes,13,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',74.4,896.75,Yes,cluster1
6050,Male,1,Yes,Yes,71,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',105.1,7548.1,Yes,cluster1
6051,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',80.6,5460.2,No,cluster1
6052,Female,1,Yes,No,69,Yes,Yes,'Fiber optic',No,Yes,No,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',105.4,6998.95,No,cluster1
6053,Male,0,No,No,41,Yes,No,'Fiber optic',No,Yes,No,Yes,Yes,No,'One year',Yes,'Electronic check',89.55,3729.75,No,cluster1
6054,Male,0,No,No,1,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',24.25,24.25,Yes,cluster1
6055,Female,0,Yes,No,46,No,'No phone service',DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,'Electronic check',45.55,2062.15,No,cluster1
6056,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,'Mailed check',69.5,1071.4,No,cluster1
6057,Male,0,Yes,Yes,9,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',29.95,248.95,Yes,cluster1
6058,Male,0,Yes,No,40,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',106,4178.65,No,cluster1
6059,Female,0,Yes,Yes,30,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',19.55,608.5,No,cluster0
6060,Male,0,No,No,4,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',81,340.85,Yes,cluster1
6061,Male,0,No,No,25,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Mailed check',20.75,499.4,No,cluster0
6062,Female,0,No,No,24,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,No,Month-to-month,Yes,'Credit card (automatic)',88.95,2072.75,No,cluster1
6063,Male,0,No,No,32,Yes,No,'Fiber optic',Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',93.4,2979.3,No,cluster1
6064,Female,0,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',92.9,3379.25,No,cluster1
6065,Male,0,No,No,51,No,'No phone service',DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,'Credit card (automatic)',44.45,2181.55,No,cluster1
6066,Female,0,Yes,Yes,4,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.95,381.3,Yes,cluster1
6067,Female,0,Yes,No,70,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',97.65,6982.5,No,cluster1
6068,Female,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',53.8,283.95,No,cluster1
6069,Male,0,No,No,18,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,No,'Credit card (automatic)',101.3,1794.65,No,cluster1
6070,Male,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',67.75,116.65,Yes,cluster1
6071,Female,0,Yes,No,49,No,'No phone service',DSL,Yes,No,No,No,Yes,No,Month-to-month,No,'Bank transfer (automatic)',40.65,2070.75,No,cluster1
6072,Female,1,No,No,16,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,'Electronic check',59.4,1023.9,Yes,cluster1
6073,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',44.1,44.1,Yes,cluster1
6074,Male,0,Yes,Yes,48,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',26.3,1245.05,No,cluster0
6075,Female,0,Yes,Yes,24,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Mailed check',19.7,494.05,No,cluster0
6076,Male,0,No,No,13,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',25.15,331.85,No,cluster1
6077,Female,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,'Electronic check',59.2,59.2,Yes,cluster1
6078,Male,0,Yes,Yes,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Bank transfer (automatic)',19.95,19.95,Yes,cluster0
6079,Female,0,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,'Bank transfer (automatic)',62.45,2045.55,No,cluster1
6080,Male,1,Yes,No,49,Yes,No,DSL,No,Yes,No,No,No,No,'Two year',No,'Mailed check',49.8,2398.4,No,cluster0
6081,Male,0,Yes,No,66,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',85.9,5595.3,No,cluster0
6082,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',44,44,No,cluster1
6083,Female,0,No,No,5,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',100.5,514,Yes,cluster1
6084,Female,0,Yes,Yes,56,Yes,No,DSL,Yes,Yes,Yes,No,No,No,'Two year',Yes,'Credit card (automatic)',61.3,3346.8,No,cluster1
6085,Male,0,No,No,13,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Electronic check',19.95,253.8,No,cluster0
6086,Female,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',80.2,146.05,Yes,cluster1
6087,Female,1,No,No,27,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.25,2287.25,Yes,cluster1
6088,Male,0,Yes,Yes,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.2,19.2,No,cluster0
6089,Male,0,No,Yes,27,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',25.85,788.55,No,cluster0
6090,Female,1,No,No,38,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',57.15,2250.65,Yes,cluster1
6091,Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',45.55,402.6,Yes,cluster1
6092,Male,0,No,No,27,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.85,470,No,cluster0
6093,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,'Mailed check',50.65,50.65,Yes,cluster1
6094,Male,0,No,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,'Two year',Yes,'Bank transfer (automatic)',75.1,5336.35,No,cluster1
6095,Male,0,No,No,26,Yes,No,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Electronic check',85.75,2146.5,No,cluster1
6096,Male,0,No,No,2,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20,32.7,No,cluster0
6097,Male,0,Yes,No,8,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Mailed check',75,658.1,No,cluster1
6098,Male,0,Yes,No,31,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,'One year',Yes,'Credit card (automatic)',75.5,2424.45,No,cluster0
6099,Female,0,No,No,32,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',104.05,3416.85,No,cluster1
6100,Male,0,No,No,4,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Electronic check',20.2,55.7,No,cluster0
6101,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,'One year',No,'Credit card (automatic)',68.1,2479.25,No,cluster1
6102,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',50.1,50.1,No,cluster1
6103,Female,0,No,No,60,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'Two year',No,'Electronic check',104.7,6333.8,No,cluster1
6104,Female,1,Yes,No,65,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',108.8,7082.45,No,cluster1
6105,Female,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.55,19.55,No,cluster0
6106,Male,0,No,No,12,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Credit card (automatic)',20.05,265.45,No,cluster0
6107,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,'One year',No,'Credit card (automatic)',71.4,4487.3,No,cluster0
6108,Male,0,Yes,Yes,12,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.7,258.35,No,cluster0
6109,Female,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.2,69.2,Yes,cluster1
6110,Female,0,No,Yes,66,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,No,No,'Two year',Yes,'Credit card (automatic)',90.95,5930.05,No,cluster1
6111,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',55.4,55.4,Yes,cluster1
6112,Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',19.3,19.3,Yes,cluster0
6113,Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',45.25,74.2,No,cluster1
6114,Male,0,Yes,Yes,54,No,'No phone service',DSL,No,No,Yes,Yes,No,Yes,'Two year',No,'Credit card (automatic)',46,2424.05,No,cluster0
6115,Female,0,No,No,9,Yes,No,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',79.55,723.4,Yes,cluster1
6116,Male,0,No,No,59,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,'Electronic check',64.65,3735.45,No,cluster1
6117,Female,1,No,No,26,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',91.25,2351.8,Yes,cluster1
6118,Female,1,No,No,7,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Mailed check',51.3,419.35,No,cluster1
6119,Female,0,No,No,8,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',99.65,820.5,Yes,cluster1
6120,Male,0,Yes,No,32,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,'One year',Yes,'Credit card (automatic)',72.8,2333.05,No,cluster1
6121,Male,0,No,No,4,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.7,117.8,No,cluster0
6122,Female,0,No,No,43,Yes,No,DSL,No,Yes,No,Yes,No,No,'One year',No,'Electronic check',55.45,2444.25,No,cluster1
6123,Male,1,No,No,19,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',90.6,1660,Yes,cluster1
6124,Female,0,Yes,No,68,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,No,'Two year',Yes,'Bank transfer (automatic)',89.95,5974.3,No,cluster1
6125,Male,0,Yes,Yes,55,Yes,No,DSL,No,No,Yes,Yes,No,No,'Two year',Yes,'Credit card (automatic)',55.25,3119.9,No,cluster1
6126,Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',70.75,146.9,Yes,cluster1
6127,Female,0,No,No,69,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,'Two year',No,'Electronic check',104,7028.5,No,cluster1
6128,Female,0,Yes,No,46,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Bank transfer (automatic)',24.45,1066.15,No,cluster0
6129,Female,0,No,No,3,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',79.4,244.65,Yes,cluster1
6130,Male,0,No,No,7,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,'Bank transfer (automatic)',64.3,445.95,No,cluster1
6131,Male,0,No,No,31,Yes,No,'Fiber optic',No,Yes,No,Yes,No,No,Month-to-month,Yes,'Electronic check',78.45,2435.15,Yes,cluster1
6132,Male,0,No,No,4,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',78.45,330.05,Yes,cluster1
6133,Female,0,Yes,No,14,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',64.7,941,Yes,cluster1
6134,Female,0,No,No,65,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,No,'One year',Yes,'Electronic check',95.5,6153.85,No,cluster1
6135,Female,0,Yes,Yes,37,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',95.25,3314.15,No,cluster1
6136,Female,1,Yes,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',49.55,49.55,Yes,cluster1
6137,Male,0,Yes,No,71,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',79.1,5564.85,No,cluster0
6138,Male,0,Yes,Yes,55,Yes,No,DSL,Yes,No,No,No,No,Yes,'One year',No,'Credit card (automatic)',59.45,3157,No,cluster0
6139,Male,0,Yes,Yes,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Credit card (automatic)',108.4,7767.25,No,cluster1
6140,Male,0,No,No,17,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Credit card (automatic)',21.1,385.55,No,cluster0
6141,Female,0,No,No,10,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.75,799.65,Yes,cluster1
6142,Male,0,No,No,1,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,'Mailed check',60.1,60.1,Yes,cluster1
6143,Female,0,No,Yes,70,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,'Two year',No,'Electronic check',66,4891.5,No,cluster1
6144,Female,0,No,Yes,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,'Two year',No,'Credit card (automatic)',67.65,2339.3,No,cluster1
6145,Female,0,Yes,No,2,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.4,139.4,Yes,cluster1
6146,Male,0,No,Yes,22,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Credit card (automatic)',20.15,432.5,No,cluster0
6147,Male,0,Yes,Yes,71,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,'Two year',Yes,'Electronic check',97.2,6910.3,No,cluster1
6148,Female,0,Yes,No,18,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.1,370.5,No,cluster0
6149,Male,0,No,No,22,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Credit card (automatic)',24.85,493.4,No,cluster0
6150,Male,0,Yes,Yes,29,No,'No phone service',DSL,Yes,Yes,Yes,Yes,No,Yes,'One year',Yes,'Credit card (automatic)',55.35,1636.95,No,cluster0
6151,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Electronic check',90.35,6325.25,No,cluster0
6152,Male,0,No,No,69,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',19.3,1447.9,No,cluster0
6153,Female,0,Yes,Yes,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',69.1,69.1,Yes,cluster1
6154,Male,0,Yes,Yes,19,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.9,357.7,No,cluster0
6155,Male,0,Yes,No,10,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,'Credit card (automatic)',54.95,568.85,No,cluster1
6156,Female,0,Yes,No,53,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',98.4,5149.5,Yes,cluster1
6157,Female,0,No,No,10,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',24.5,270.15,No,cluster0
6158,Female,0,Yes,Yes,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',116.4,8543.25,No,cluster1
6159,Female,0,Yes,No,52,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,No,Month-to-month,No,'Bank transfer (automatic)',94.6,5025.8,No,cluster1
6160,Female,0,No,No,2,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.45,34.8,No,cluster0
6161,Female,0,Yes,Yes,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,'Electronic check',55.15,1319.85,No,cluster1
6162,Female,0,Yes,Yes,4,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Mailed check',78.9,299.75,No,cluster1
6163,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',84.7,5893.9,No,cluster1
6164,Male,0,No,Yes,1,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Mailed check',31.35,31.35,Yes,cluster1
6165,Female,0,Yes,Yes,21,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',44.95,926.25,No,cluster1
6166,Male,0,Yes,Yes,72,No,'No phone service',DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',65.25,4478.85,No,cluster0
6167,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',46,84.5,Yes,cluster1
6168,Male,0,Yes,No,70,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,'Two year',No,'Credit card (automatic)',77.3,5498.2,No,cluster0
6169,Female,1,No,No,5,Yes,No,'Fiber optic',No,No,Yes,No,Yes,No,Month-to-month,Yes,'Mailed check',84.85,415.55,Yes,cluster1
6170,Male,0,Yes,Yes,2,Yes,No,'Fiber optic',Yes,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',97.1,184.15,No,cluster1
6171,Male,0,No,No,53,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.5,1050.5,No,cluster0
6172,Female,0,Yes,Yes,60,No,'No phone service',DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',59.85,3590.2,No,cluster0
6173,Male,0,No,No,66,No,'No phone service',DSL,No,No,No,Yes,No,No,'One year',No,'Credit card (automatic)',29.45,1983.15,No,cluster1
6174,Female,0,Yes,Yes,30,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,'Bank transfer (automatic)',66.3,1923.5,No,cluster1
6175,Female,0,Yes,Yes,17,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.45,1451.6,Yes,cluster1
6176,Female,1,No,No,4,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',94.3,424.45,Yes,cluster1
6177,Female,0,Yes,No,17,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',92.6,1579.7,No,cluster1
6178,Female,0,Yes,No,33,Yes,No,DSL,No,No,No,Yes,No,No,'One year',Yes,'Mailed check',51.45,1758.9,No,cluster1
6179,Female,0,No,Yes,10,Yes,No,'Fiber optic',No,No,Yes,Yes,Yes,No,Month-to-month,Yes,'Electronic check',91.1,964.35,No,cluster1
6180,Male,0,Yes,Yes,42,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,'Mailed check',54.5,2301.15,No,cluster0
6181,Male,1,Yes,No,4,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',74.4,306.6,Yes,cluster1
6182,Female,0,No,No,10,No,'No phone service',DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,'Bank transfer (automatic)',40.7,449.3,No,cluster1
6183,Male,0,Yes,No,72,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',108.2,7840.6,No,cluster1
6184,Female,0,Yes,Yes,48,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,'One year',Yes,'Mailed check',82.05,4029.95,Yes,cluster1
6185,Male,0,Yes,Yes,43,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',19.2,776.25,No,cluster0
6186,Female,0,Yes,Yes,25,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.05,520.1,No,cluster0
6187,Female,0,Yes,No,62,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',101.35,6164.7,No,cluster1
6188,Female,1,No,No,59,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,'Two year',Yes,'Credit card (automatic)',79.2,4590.35,No,cluster1
6189,Male,0,No,No,15,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',19.8,309.4,No,cluster0
6190,Female,1,No,No,3,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',70.4,204.7,Yes,cluster1
6191,Male,0,No,No,27,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',20.1,562.6,No,cluster0
6192,Male,0,No,No,71,No,'No phone service',DSL,Yes,Yes,Yes,Yes,Yes,No,'Two year',No,'Bank transfer (automatic)',53.95,3888.65,No,cluster0
6193,Male,0,Yes,Yes,64,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,No,No,Month-to-month,Yes,'Electronic check',91.8,5960.5,No,cluster1
